,MOONEYID,REAL_NAME,PAPER,PAPER_NUMBER,MEAN_HOLISTIC,CI_LOWER_HOLISTIC,CI_UPPER_HOLISTIC,MEAN_UPRIGHT,CI_LOWER_UPRIGHT,CI_UPPER_UPRIGHT,MEAN_INVERTED,CI_LOWER_INVERTED,CI_UPPER_INVERTED
69,94.0,U0153.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
70,95.0,U0155.bmp,no,,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
71,96.0,U0156.bmp,no,,0.05,-0.054651200722282356,0.15465120221239848,1.0,1.0,1.0,0.95,0.8453487866117306,1.0546511895464115
72,97.0,U0157.bmp,no,,-0.05,-0.15465120221239848,0.054651200722282356,0.95,0.8453487866117306,1.0546511895464115,1.0,1.0,1.0
73,98.0,U0158.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
74,99.0,U0159.bmp,no,,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
75,100.0,U0160.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
76,101.0,U0164.bmp,no,,0.45,0.16694239895295543,0.7330575772051866,0.95,0.8453487866117306,1.0546511895464115,0.5,0.2599136811920915,0.7400863188079085
77,103.0,U0166.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
78,105.0,U0171.bmp,no,,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
79,106.0,U0173.bmp,yes,43,0.1,-0.10930240144456471,0.30930240442479695,0.95,0.8453487866117306,1.0546511895464115,0.85,0.6785440920553543,1.0214559556283616
80,107.0,U0175.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
81,108.0,U0178.bmp,yes,44,0.5,0.2599136811920915,0.7400863188079085,1.0,1.0,1.0,0.5,0.2599136811920915,0.7400863188079085
82,110.0,U0181.bmp,no,,0.4,0.16476440976881956,0.6352356021521094,1.0,1.0,1.0,0.6,0.364764427650213,0.8352356200335028
83,118.0,U0193.bmp,yes,51,0.25,0.04207913816712927,0.45792086183287073,0.95,0.8453487866117306,1.0546511895464115,0.7,0.47995724331996786,0.9200427328381742
84,119.0,U0194.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
85,121.0,U0197.bmp,yes,53,-0.05,-0.15465120221239848,0.054651200722282356,0.95,0.8453487866117306,1.0546511895464115,1.0,1.0,1.0
86,122.0,U0198.bmp,no,,0.15,-0.0790277632623281,0.37902777518325703,0.95,0.8453487866117306,1.0546511895464115,0.8,0.6079309429266859,0.992069080915172
87,123.0,U0199.bmp,no,,0.1,-0.10930240144456471,0.30930240442479695,0.95,0.8453487866117306,1.0546511895464115,0.85,0.6785440920553543,1.0214559556283616
88,124.0,U0204.bmp,no,,0.25,-0.08526229629592985,0.5852622962959299,0.7,0.47995722937205165,0.9200427467860904,0.45,0.21111712337864746,0.6888828527794946
89,125.0,U0206.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
90,126.0,U0207.bmp,yes,54,0.15,-0.021455939773955407,0.3214559516948844,1.0,1.0,1.0,0.85,0.6785440920553543,1.0214559556283616
91,127.0,U0208.bmp,no,,-0.05,-0.2888828933413141,0.18888289185119797,0.85,0.6785440920553543,1.0214559556283616,0.9,0.755948184873397,1.044051767442887
92,129.0,U0210.bmp,no,,0.25,-0.00746391604583263,0.5074639160458326,0.95,0.8453487866117306,1.0546511895464115,0.7,0.47995724331996786,0.9200427328381742
93,130.0,U0211.bmp,no,,-0.2,-0.39206907197447527,-0.007930933985989236,0.8,0.6079309429266859,0.992069080915172,1.0,1.0,1.0
94,131.0,U0214.bmp,yes,55,0.25,-0.00746391604583263,0.5074639160458326,0.95,0.8453487866117306,1.0546511895464115,0.7,0.47995722937205165,0.9200427467860904
95,133.0,U0217.bmp,yes,56,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
96,134.0,U0219.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
97,135.0,U0220.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
98,136.0,U0222.bmp,no,,0.05,-0.13441379627437255,0.23441379776448867,0.95,0.8453487866117306,1.0546511895464115,0.9,0.755948184873397,1.044051767442887
99,137.0,U0223.bmp,no,,-0.05,-0.15465120221239848,0.054651200722282356,0.95,0.8453487866117306,1.0546511895464115,1.0,1.0,1.0
100,138.0,U0225.bmp,no,,0.0,-0.15184392021352983,0.15184392021352983,0.95,0.8453487866117306,1.0546511895464115,0.95,0.8453487866117306,1.0546511895464115
101,139.0,U0228.bmp,yes,57,0.3,0.07995726716182577,0.5200427566800321,1.0,1.0,1.0,0.7,0.47995724331996786,0.9200427328381742
102,140.0,U0229.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
103,142.0,U0231.bmp,no,,0.25,0.04207913816712927,0.45792086183287073,1.0,1.0,1.0,0.75,0.5420791381671293,0.9579208618328707
104,144.0,U0234.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
105,146.0,U0239.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
106,147.0,U0240.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
107,149.0,U0244.bmp,yes,60,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
108,150.0,U0245.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
109,151.0,U0248.bmp,yes,61,0.05,-0.23305761627689003,0.33305761776700615,0.75,0.5420791381671293,0.9579208618328707,0.7,0.47995724331996786,0.9200427328381742
110,152.0,U0249.bmp,no,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
111,153.0,U0252.bmp,no,,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
112,154.0,U0254.bmp,yes,62,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
113,155.0,U0255.bmp,no,,0.2,0.007930933985989236,0.39206907197447527,1.0,1.0,1.0,0.8,0.6079309429266859,0.992069080915172
114,156.0,U0258.bmp,yes,63,0.1,-0.044051789794628954,0.2440517927748612,1.0,1.0,1.0,0.9,0.755948184873397,1.044051767442887
