PATH,NAME,PATH_QUALTRICS,NUMBER_QUALTRICS,ORIENTATION
https://storage.cloud.google.com/mooney_holistic_complete/,U0188.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0188.bmp,115,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0189.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0189.bmp,116,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0192.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0192.bmp,117,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0193.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0193.bmp,118,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0194.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0194.bmp,119,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0195.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0195.bmp,120,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0197.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0197.bmp,121,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0198.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0198.bmp,122,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0199.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0199.bmp,123,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0204.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0204.bmp,124,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0206.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0206.bmp,125,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0207.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0207.bmp,126,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0208.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0208.bmp,127,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0209.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0209.bmp,128,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0210.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0210.bmp,129,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0211.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0211.bmp,130,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0214.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0214.bmp,131,upright
https://storage.cloud.google.com/mooney_holistic_complete/,U0215.bmp,https://storage.cloud.google.com/mooney_holistic_complete/U0215.bmp,132,upright
